Tue 12/09/2025 13:44:41.20 . INITIALIZE file C:\temp\mDCT_v1.54\LCN01ESVTB_20251209_133828\_Network\netstat.txt by experionadmin on LCN01ESVTB in Domain ALONBIGSCTRL 
mDCT++ [v1.54] (krasimir.kumanov@gmail.com) 

================================================================================== 
===== 13:44:41.23 : netstat -natoq 
================================================================================== 

Active Connections

  Proto  Local Address          Foreign Address        State           PID      Offload State

  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4	InHost      
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       508	InHost      
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING       4	InHost      
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4	InHost      
  TCP    0.0.0.0:808            0.0.0.0:0              LISTENING       3244	InHost      
  TCP    0.0.0.0:1010           0.0.0.0:0              LISTENING       3232	InHost      
  TCP    0.0.0.0:1311           0.0.0.0:0              LISTENING       3188	InHost      
  TCP    0.0.0.0:1337           0.0.0.0:0              LISTENING       7024	InHost      
  TCP    0.0.0.0:1433           0.0.0.0:0              LISTENING       4244	InHost      
  TCP    0.0.0.0:2909           0.0.0.0:0              LISTENING       3392	InHost      
  TCP    0.0.0.0:2910           0.0.0.0:0              LISTENING       2248	InHost      
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1096	InHost      
  TCP    0.0.0.0:5017           0.0.0.0:0              LISTENING       5080	InHost      
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4	InHost      
  TCP    0.0.0.0:6000           0.0.0.0:0              LISTENING       4724	InHost      
  TCP    0.0.0.0:6888           0.0.0.0:0              LISTENING       6376	InHost      
  TCP    0.0.0.0:8071           0.0.0.0:0              LISTENING       4	InHost      
  TCP    0.0.0.0:8082           0.0.0.0:0              LISTENING       4	InHost      
  TCP    0.0.0.0:9860           0.0.0.0:0              LISTENING       940	InHost      
  TCP    0.0.0.0:18018          0.0.0.0:0              LISTENING       6376	InHost      
  TCP    0.0.0.0:20222          0.0.0.0:0              LISTENING       11616	InHost      
  TCP    0.0.0.0:22382          0.0.0.0:0              LISTENING       4500	InHost      
  TCP    0.0.0.0:22479          0.0.0.0:0              LISTENING       12648	InHost      
  TCP    0.0.0.0:22480          0.0.0.0:0              LISTENING       12648	InHost      
  TCP    0.0.0.0:40007          0.0.0.0:0              LISTENING       25568	InHost      
  TCP    0.0.0.0:40200          0.0.0.0:0              LISTENING       3244	InHost      
  TCP    0.0.0.0:40209          0.0.0.0:0              LISTENING       18396	InHost      
  TCP    0.0.0.0:40211          0.0.0.0:0              LISTENING       18988	InHost      
  TCP    0.0.0.0:40213          0.0.0.0:0              LISTENING       14952	InHost      
  TCP    0.0.0.0:40214          0.0.0.0:0              LISTENING       4188	InHost      
  TCP    0.0.0.0:40215          0.0.0.0:0              LISTENING       4160	InHost      
  TCP    0.0.0.0:40217          0.0.0.0:0              LISTENING       4300	InHost      
  TCP    0.0.0.0:40218          0.0.0.0:0              LISTENING       24920	InHost      
  TCP    0.0.0.0:40219          0.0.0.0:0              LISTENING       16068	InHost      
  TCP    0.0.0.0:40220          0.0.0.0:0              LISTENING       12768	InHost      
  TCP    0.0.0.0:40226          0.0.0.0:0              LISTENING       4464	InHost      
  TCP    0.0.0.0:40227          0.0.0.0:0              LISTENING       4464	InHost      
  TCP    0.0.0.0:40259          0.0.0.0:0              LISTENING       18056	InHost      
  TCP    0.0.0.0:40300          0.0.0.0:0              LISTENING       4060	InHost      
  TCP    0.0.0.0:45000          0.0.0.0:0              LISTENING       24936	InHost      
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4	InHost      
  TCP    0.0.0.0:49999          0.0.0.0:0              LISTENING       13424	InHost      
  TCP    0.0.0.0:50000          0.0.0.0:0              LISTENING       580	InHost      
  TCP    0.0.0.0:50001          0.0.0.0:0              LISTENING       13976	InHost      
  TCP    0.0.0.0:50002          0.0.0.0:0              LISTENING       15624	InHost      
  TCP    0.0.0.0:50003          0.0.0.0:0              LISTENING       15700	InHost      
  TCP    0.0.0.0:50004          0.0.0.0:0              LISTENING       14080	InHost      
  TCP    0.0.0.0:51456          0.0.0.0:0              LISTENING       672	InHost      
  TCP    0.0.0.0:51457          0.0.0.0:0              LISTENING       1652	InHost      
  TCP    0.0.0.0:51458          0.0.0.0:0              LISTENING       1884	InHost      
  TCP    0.0.0.0:51459          0.0.0.0:0              LISTENING       1804	InHost      
  TCP    0.0.0.0:51461          0.0.0.0:0              LISTENING       812	InHost      
  TCP    0.0.0.0:51480          0.0.0.0:0              LISTENING       2624	InHost      
  TCP    0.0.0.0:51491          0.0.0.0:0              LISTENING       812	InHost      
  TCP    0.0.0.0:51677          0.0.0.0:0              LISTENING       5668	InHost      
  TCP    0.0.0.0:51846          0.0.0.0:0              LISTENING       7344	InHost      
  TCP    0.0.0.0:51972          0.0.0.0:0              LISTENING       792	InHost      
  TCP    0.0.0.0:53003          0.0.0.0:0              LISTENING       21344	InHost      
  TCP    0.0.0.0:53833          0.0.0.0:0              LISTENING       5872	InHost      
  TCP    0.0.0.0:53834          0.0.0.0:0              LISTENING       1968	InHost      
  TCP    0.0.0.0:53835          0.0.0.0:0              LISTENING       20784	InHost      
  TCP    0.0.0.0:53837          0.0.0.0:0              LISTENING       13360	InHost      
  TCP    0.0.0.0:55165          0.0.0.0:0              LISTENING       23912	InHost      
  TCP    0.0.0.0:55550          0.0.0.0:0              LISTENING       6172	InHost      
  TCP    0.0.0.0:55553          0.0.0.0:0              LISTENING       5004	InHost      
  TCP    0.0.0.0:55554          0.0.0.0:0              LISTENING       5004	InHost      
  TCP    0.0.0.0:55555          0.0.0.0:0              LISTENING       5004	InHost      
  TCP    0.0.0.0:55556          0.0.0.0:0              LISTENING       11528	InHost      
  TCP    0.0.0.0:55557          0.0.0.0:0              LISTENING       4136	InHost      
  TCP    0.0.0.0:55559          0.0.0.0:0              LISTENING       4128	InHost      
  TCP    0.0.0.0:55563          0.0.0.0:0              LISTENING       11188	InHost      
  TCP    0.0.0.0:55571          0.0.0.0:0              LISTENING       11672	InHost      
  TCP    0.0.0.0:55572          0.0.0.0:0              LISTENING       11672	InHost      
  TCP    0.0.0.0:55573          0.0.0.0:0              LISTENING       11672	InHost      
